,Ort,Stärke:
37,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
38,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
39,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
40,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
41,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
42,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
43,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
44,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
45,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
46,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
47,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
48,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
49,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
50,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
51,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
52,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
53,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
54,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
55,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
56,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
57,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
58,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
59,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
60,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
61,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
62,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
63,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
64,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
65,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
66,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
67,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
68,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
69,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
70,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
71,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
72,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
73,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
74,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
75,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
76,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
77,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
78,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
79,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
80,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
81,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
82,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
83,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
84,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
85,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
86,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
87,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
88,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
89,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
90,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
91,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
92,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
93,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
94,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
95,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
96,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
97,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
98,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
99,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
100,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
101,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
102,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
103,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
104,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
105,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
106,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
107,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
108,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
109,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
110,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
111,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
112,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
113,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
114,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
115,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
116,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
117,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
118,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
119,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
120,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
121,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
122,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
123,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
124,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
125,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
126,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
127,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
128,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
129,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
130,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
131,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
132,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
133,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
134,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
135,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
136,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
137,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
138,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
139,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
140,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
141,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
142,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
143,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
144,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
145,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
146,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
147,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
148,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
149,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
150,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
151,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
152,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
153,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
154,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
155,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
156,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
157,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
158,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
159,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
160,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
161,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
162,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
163,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
164,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
165,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
166,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
167,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
168,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
169,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
170,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
171,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
172,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
173,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
174,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
175,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
176,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
177,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
178,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
179,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
180,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
181,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
182,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
183,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
184,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
185,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
186,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
187,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
188,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
189,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
190,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
191,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
192,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
193,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
194,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
195,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
196,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
197,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
198,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
199,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
200,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
201,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
202,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
203,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
204,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
205,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
206,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
207,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
208,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
209,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
210,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
211,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
212,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
213,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
214,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
215,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
216,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
217,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
218,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
219,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
220,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
221,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
222,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
223,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
224,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
225,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
226,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
227,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
228,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
229,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
230,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
231,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
232,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
233,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
234,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
235,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
236,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
237,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
238,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
239,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
240,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
241,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
242,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
243,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
244,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
245,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
246,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
247,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
248,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
249,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
250,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
251,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
252,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
253,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
254,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
255,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
256,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
257,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
258,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
259,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
260,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
261,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
262,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
263,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
264,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
265,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
266,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
267,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
268,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
269,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
270,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
271,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
272,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
273,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
274,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
275,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
276,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
277,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
278,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
279,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
280,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
281,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
282,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
283,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
284,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
285,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
286,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
287,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
288,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
289,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
290,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
291,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
292,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
293,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
294,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
295,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
296,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
297,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
298,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
299,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
300,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
301,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
302,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
303,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
304,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
305,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
306,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
307,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
308,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
309,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
310,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
311,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
312,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
313,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
314,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
315,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
316,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
317,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
318,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
319,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
320,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
321,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
322,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
323,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
324,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
325,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
326,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
327,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
328,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
329,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
330,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
331,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
332,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
333,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
334,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
335,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
336,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
337,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
338,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
339,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
340,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
341,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
342,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
343,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
344,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
345,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
346,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
347,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
348,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
349,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
350,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
351,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
352,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
353,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
354,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
355,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
356,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
357,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
358,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
359,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
360,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
361,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
362,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
363,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
364,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
365,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
366,"133km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.8
